Date,Datetime,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Change%_Petro,Índice_Ibovespa,Change%_Ibovespa,Value_IPCA
2022-11-08,2022-11-08 16:56:00,29.72806883,94745317.64,6.223818450748456,88.0,162.91,-3.01%,116160.35,5.681366182283076,0.41%
2022-11-09,2022-11-09 16:56:00,25.61995163,103303635.3,5.350978848764594,85.0,200.28,-3.41%,113580.09,1.139514984851786,0.41%
2022-11-10,2022-11-10 16:56:00,26.5339966,145470116.5,5.532987863875218,85.66,160.49,0.78%,109775.46,-5.317531454026813,0.41%
2022-11-11,2022-11-11 16:56:00,28.34843127,146365657.5,5.925799299734526,88.16,154.79,2.92%,112253.49,-2.241308499246508,0.41%
2022-11-14,2022-11-14 16:56:00,27.11116562,66639404.01,5.543185430084442,85.16,183.53,-3.40%,113161.28,0.9716402816252412,0.41%
2022-11-16,2022-11-16 16:56:00,28.85625062,85549678.59,5.923970072468231,85.0,191.29,-1.45%,110243.33,0.8811829608556421,0.41%
2022-11-17,2022-11-17 16:56:00,26.84270458,101525671.6,5.483586562072276,81.4,390.06,-4.24%,109702.78,-3.451032079671912,0.41%
2022-11-18,2022-11-18 16:56:00,28.07123362,127683406.1,5.632722052331648,80.11,480.54,-1.58%,108870.17,-5.938066097607408,0.41%
2022-11-21,2022-11-21 16:56:00,27.75707932,164897983.2,5.439045190367017,80.04,475.1,-0.09%,109748.18,-8.488879109011272,0.41%
2022-11-22,2022-11-22 16:56:00,23.69800943,164261089.4,4.628246280491377,80.73,85.2,0.86%,109036.54,-4.4130085189437285,0.41%
2022-11-23,2022-11-23 16:56:00,23.89416463,77317475.52,4.674223797413877,78.07,120.39,-3.29%,108841.15,-2.5733556518314327,0.41%
2022-11-24,2022-11-24 16:56:00,26.76582967,94233969.43,5.2161888156997245,77.95,99.4325,-0.15%,111831.16,-3.604381244467192,0.41%
2022-11-25,2022-11-25 16:56:00,24.40932783,58636000.45,4.726734151158962,76.43,59.52,-1.95%,108976.7,-4.928122943576563,0.41%
2022-11-28,2022-11-28 16:56:00,26.3048641,56067285.24,5.1115122031790445,77.33,132.62,1.18%,108782.15,-5.026146104756424,0.41%
2022-11-29,2022-11-29 16:56:00,23.88056413,96151360.17,4.636192535285096,78.28,109.11,1.23%,110909.61,3.0142382320610173,0.41%
2022-11-30,2022-11-30 16:56:00,26.55344489,120774846.9,5.122884048772018,80.66,90.29,3.04%,112486.01,2.2258192010145006,0.41%
2022-12-01,2022-12-01 16:56:00,23.49605038,71259581.97,4.48963396262468,81.14,116.2,0.60%,110925.6,-5.133950906475793,0.62%
2022-12-02,2022-12-02 16:56:00,25.52475959,66301012.19,4.888489598575094,80.05,96.43,-1.34%,111923.93,0.9558447340639152,0.62%
2022-12-05,2022-12-05 16:56:00,24.32267398,56065048.67,4.661391360509017,77.08,105.02,-3.71%,109401.41,-6.652350700721232,0.62%
2022-12-06,2022-12-06 16:56:00,26.09458796,74991037.65,4.992459623478993,74.46,120.67,-3.40%,110188.57,-6.271017310782845,0.62%
2022-12-07,2022-12-07 16:56:00,25.76080397,57008619.83,4.918061086292478,72.28,148.54,-2.93%,109068.55,-5.43932673500811,0.62%
